city,city_ascii,lat,lng,country
Coaticook,Coaticook,45.1333,-71.8000,Canada
Marcy,Marcy,43.1731,-75.2662,United States
Phimai,Phimai,15.2229,102.4940,Thailand
Ortaköy,Ortakoy,40.2830,35.2670,Turkey
Simón Bolívar,Simon Bolivar,-2.0025,-79.4856,Ecuador
Tonk Khurd,Tonk Khurd,23.0983,76.2155,India
Gonzaga,Gonzaga,44.9500,10.8167,Italy
Karadipāra,Karadipara,10.5500,76.5833,India
Roverbella,Roverbella,45.2667,10.7667,Italy
Audubon,Audubon,39.8906,-75.0722,United States
Stăuceni,Stauceni,47.0875,28.8703,Moldova
Pokhraira,Pokhraira,26.0711,85.2034,India
Pāppākudi,Pappakudi,8.7520,77.5026,India
Torre Boldone,Torre Boldone,45.7167,9.7000,Italy
Cullinan,Cullinan,-25.6728,28.5208,South Africa
Måløv,Malov,55.7500,12.3333,Denmark
Nāttarasankottai,Nattarasankottai,9.8690,78.5531,India
Indūrti,Indurti,17.0055,78.9054,India
Solebury,Solebury,40.3676,-75.0032,United States
Mirdoddi,Mirdoddi,18.0786,78.6770,India
Conthey,Conthey,46.2167,7.3000,Switzerland
Wietze,Wietze,52.6500,9.8333,Germany
Mrakovo,Mrakovo,52.7139,56.6269,Russia
São Pedro do Ivaí,Sao Pedro do Ivai,-23.8650,-51.8558,Brazil
Ergoldsbach,Ergoldsbach,48.6833,12.2000,Germany
Goworowo,Goworowo,52.9006,21.5544,Poland
Binfield,Binfield,51.4320,-0.7920,United Kingdom
Dharhwa,Dharhwa,26.9104,84.2769,India
Heusden,Heusden,51.0281,3.8000,Belgium
Heikendorf,Heikendorf,54.3722,10.2081,Germany
Le Petit-Couronne,Le Petit-Couronne,49.3864,1.0283,France
Gadaul,Gadaul,26.1287,86.2375,India
Katrīdih,Katridih,25.0829,85.6334,India
Painkulam,Painkulam,10.7375,76.3125,India
Koshanam,Koshanam,11.3701,77.3523,India
Lequile,Lequile,40.3000,18.1333,Italy
Uglegorsk,Uglegorsk,49.0667,142.0333,Russia
Limeira d’Oeste,Limeira d'Oeste,-19.5517,-50.5817,Brazil
Newstead,Newstead,43.0196,-78.5223,United States
Stainz,Stainz,46.8833,15.2667,Austria
Titz,Titz,51.0061,6.4242,Germany
Zanica,Zanica,45.6333,9.6833,Italy
Aigues-Mortes,Aigues-Mortes,43.5675,4.1933,France
Azandarīān,Azandarian,34.5044,48.6919,Iran
Oxford,Oxford,36.3155,-78.5848,United States
Duchcov,Duchcov,50.6039,13.7464,Czechia
Monte Escobedo,Monte Escobedo,22.3000,-103.5667,Mexico
Murājpur,Murajpur,25.9506,86.4713,India
Bāgalvād,Bagalvad,16.0528,76.8877,India
Gobindpur,Gobindpur,24.7820,85.6943,India
Savoy,Savoy,40.0600,-88.2552,United States
Cheviot,Cheviot,39.1577,-84.6139,United States
Kaldsletta,Kaldsletta,69.6956,18.8836,Norway
Katueté,Katuete,-24.2481,-54.7575,Paraguay
Tordesillas,Tordesillas,41.5000,-5.0000,Spain
Kambhampādu,Kambhampadu,16.9853,80.6534,India
Hillview,Hillview,38.0562,-85.6847,United States
Pyālakurti,Pyalakurti,15.7286,77.8168,India
Kursaha,Kursaha,25.5588,85.6875,India
Brandizzo,Brandizzo,45.1833,7.8333,Italy
Sangaree,Sangaree,33.0327,-80.1253,United States
Embrun,Embrun,45.2735,-75.2920,Canada
Çamlıyayla,Camliyayla,37.1703,34.6083,Turkey
Suttamalli,Suttamalli,8.6987,77.6323,India
Rompicherla,Rompicherla,13.7228,79.0542,India
Kottūr,Kottur,9.9038,77.4071,India
Kalinagar,Kalinagar,22.4219,88.8695,India
